id_inst;nombre_inst;id_depa;nombre_depa;id_muni;nombre_muni;telefono
1728;UNIVERSIDAD SERGIO ARBOLEDA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3177536
1729;UNIVERSIDAD EL BOSQUE;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6489000
1730;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Valle del Cauca;Valle del Cauca;76520;Palmira;2759370
1731;UNIVERSIDAD CATOLICA DE COLOMBIA;Cundinamarca;Cundinamarca;25175;Chía;6766071
1732;UNIVERSIDAD SANTO TOMAS;Boyacá;Boyacá;15001;Tunja;7440404
1733;UNIVERSIDAD SERGIO ARBOLEDA;Magdalena;Magdalena;47001;Santa Marta;4203838
1734;UNIVERSIDAD DE BOYACA UNIBOYACA;Boyacá;Boyacá;15001;Tunja;7450044
1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;5460600
1801;UNIVERSIDAD LA GRAN COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3276999
1802;UNIVERSIDAD LA GRAN COLOMBIA;Quindío;Quindío;63001;Armenia;7460400
1803;UNIVERSIDAD DE LA SALLE;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3488000
1804;UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA;Atlántico;Atlántico;8001;Barranquilla;3671000
1805;UNIVERSIDAD SANTIAGO DE CALI;Valle del Cauca;Valle del Cauca;76001;Cali;5183000
1806;UNIVERSIDAD LIBRE;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3821000
1807;UNIVERSIDAD LIBRE;Valle del Cauca;Valle del Cauca;76001;Cali;5578128
1808;UNIVERSIDAD LIBRE;Atlántico;Atlántico;8001;Barranquilla;3598915
1809;UNIVERSIDAD LIBRE;Risaralda;Risaralda;66001;Pereira;3366019
1810;UNIVERSIDAD LIBRE;Norte de Santander;Norte de Santander;54001;San José de Cúcuta;5790896
1811;UNIVERSIDAD LIBRE;Santander;Santander;68755;Socorro;7296945
1812;UNIVERSIDAD DE MEDELLIN;Antioquia;Antioquia;5001;Medellín;3405555
1813;UNIVERSIDAD DE LOS ANDES;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3394949
1814;UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-;Antioquia;Antioquia;5001;Medellín;5112199
1815;CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3322900
1816;UNIVERSIDAD COOPERATIVA DE COLOMBIA;Antioquia;Antioquia;5001;Medellín;2391100
1817;UNIVERSIDAD COOPERATIVA DE COLOMBIA;Santander;Santander;68001;Bucaramanga;343825
1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3323565
1819;UNIVERSIDAD COOPERATIVA DE COLOMBIA;Santander;Santander;68081;Barrancabermeja;213277
1820;UNIVERSIDAD COOPERATIVA DE COLOMBIA;Magdalena;Magdalena;47001;Santa Marta;4331715
1822;CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA;Cundinamarca;Cundinamarca;25307;Girardot;8332845
1823;UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-;Santander;Santander;68001;Bucaramanga;6436111
1824;UNIVERSIDAD METROPOLITANA;Atlántico;Atlántico;8001;Barranquilla;3587889
1825;UNIVERSIDAD AUTONOMA DE MANIZALES;Caldas;Caldas;17001;Manizales;8727272
1826;UNIVERSIDAD ANTONIO NARIÑO;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3152973
1827;UNIVERSIDAD CATOLICA DE MANIZALES;Caldas;Caldas;17001;Manizales;8933050
1828;UNIVERSIDAD ICESI;Valle del Cauca;Valle del Cauca;76001;Cali;5552369
1829;UNIVERSIDAD SANTIAGO DE CALI;Valle del Cauca;Valle del Cauca;76520;Palmira;2712617
1830;UNIVERSIDAD AUTONOMA DE OCCIDENTE;Valle del Cauca;Valle del Cauca;76001;Cali;3188000
1831;UNIVERSIDAD DE IBAGUE;Tolima;Tolima;73001;Ibagué;2760010
1832;UNIVERSIDAD TECNOLOGICA DE BOLIVAR;Bolívar;Bolívar;13001;Cartagena de Indias;6535200
1833;UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -;Córdoba;Córdoba;23001;Montería;7840340
